design_idx,run_id,MaxMessageCount,AbsoluteMaxBytes,PreferredMaxBytes,BatchTimeout,tps
1,1,10,179,1566,1.000000,nan
1,2,10,179,1566,1.000000,599.125000
1,3,10,179,1566,1.000000,574.300000
1,4,10,179,1566,1.000000,565.300000
1,5,10,179,1566,1.000000,566.575000
1,6,10,179,1566,1.000000,565.325000
1,7,10,179,1566,1.000000,585.225000
1,8,10,179,1566,1.000000,590.125000
1,9,10,179,1566,1.000000,556.350000
1,10,10,179,1566,1.000000,565.300000
2,1,564,158,4729,2.500000,557.700000
2,2,564,158,4729,2.500000,565.400000
2,3,564,158,4729,2.500000,569.075000
2,4,564,158,4729,2.500000,546.275000
2,5,564,158,4729,2.500000,576.625000
2,6,564,158,4729,2.500000,559.725000
2,7,564,158,4729,2.500000,579.975000
2,8,564,158,4729,2.500000,580.500000
2,9,564,158,4729,2.500000,576.450000
2,10,564,158,4729,2.500000,560.400000
3,1,1119,116,7892,3.500000,543.175000
3,2,1119,116,7892,3.500000,575.075000
3,3,1119,116,7892,3.500000,539.200000
3,4,1119,116,7892,3.500000,574.775000
3,5,1119,116,7892,3.500000,569.625000
3,6,1119,116,7892,3.500000,540.525000
3,7,1119,116,7892,3.500000,548.225000
3,8,1119,116,7892,3.500000,536.425000
3,9,1119,116,7892,3.500000,550.175000
3,10,1119,116,7892,3.500000,524.350000
4,1,1673,10,6837,0.500000,578.250000
4,2,1673,10,6837,0.500000,581.750000
