design_idx,run_id,MaxMessageCount,AbsoluteMaxBytes,PreferredMaxBytes,BatchTimeout,tps
1,1,10,179,1566,1.000000,796.825000
1,2,10,179,1566,1.000000,823.775000
1,3,10,179,1566,1.000000,807.525000
1,4,10,179,1566,1.000000,818.150000
1,5,10,179,1566,1.000000,796.775000
1,6,10,179,1566,1.000000,823.775000
1,7,10,179,1566,1.000000,815.650000
1,8,10,179,1566,1.000000,811.650000
1,9,10,179,1566,1.000000,796.825000
1,10,10,179,1566,1.000000,838.525000
2,1,564,158,4729,2.500000,793.800000
2,2,564,158,4729,2.500000,783.800000
2,3,564,158,4729,2.500000,801.650000
2,4,564,158,4729,2.500000,779.750000
2,5,564,158,4729,2.500000,802.450000
2,6,564,158,4729,2.500000,780.875000
2,7,564,158,4729,2.500000,801.100000
2,8,564,158,4729,2.500000,799.425000
2,9,564,158,4729,2.500000,786.700000
2,10,564,158,4729,2.500000,787.225000
3,1,1119,116,7892,3.500000,814.325000
3,2,1119,116,7892,3.500000,780.150000
3,3,1119,116,7892,3.500000,813.200000
3,4,1119,116,7892,3.500000,812.450000
3,5,1119,116,7892,3.500000,797.575000
3,6,1119,116,7892,3.500000,800.350000
3,7,1119,116,7892,3.500000,814.600000
3,8,1119,116,7892,3.500000,786.375000
3,9,1119,116,7892,3.500000,775.675000
3,10,1119,116,7892,3.500000,805.800000
4,1,1673,10,6837,0.500000,780.775000
4,2,1673,10,6837,0.500000,787.150000
4,3,1673,10,6837,0.500000,803.675000
4,4,1673,10,6837,0.500000,803.725000
4,5,1673,10,6837,0.500000,819.150000
4,6,1673,10,6837,0.500000,790.950000
4,7,1673,10,6837,0.500000,780.975000
4,8,1673,10,6837,0.500000,819.825000
4,9,1673,10,6837,0.500000,817.950000
4,10,1673,10,6837,0.500000,812.250000
5,1,2228,73,10000,1.500000,791.150000
5,2,2228,73,10000,1.500000,774.900000
5,3,2228,73,10000,1.500000,802.325000
5,4,2228,73,10000,1.500000,800.075000
5,5,2228,73,10000,1.500000,774.100000
5,6,2228,73,10000,1.500000,803.900000
5,7,2228,73,10000,1.500000,786.075000
5,8,2228,73,10000,1.500000,779.175000
5,9,2228,73,10000,1.500000,817.025000
5,10,2228,73,10000,1.500000,785.825000
6,1,2782,137,512,4.000000,808.175000
6,2,2782,137,512,4.000000,776.900000
6,3,2782,137,512,4.000000,804.450000
6,4,2782,137,512,4.000000,795.525000
6,5,2782,137,512,4.000000,776.750000
6,6,2782,137,512,4.000000,799.925000
6,7,2782,137,512,4.000000,775.075000
6,8,2782,137,512,4.000000,775.325000
6,9,2782,137,512,4.000000,799.225000
6,10,2782,137,512,4.000000,775.850000
7,1,3337,200,3675,5.000000,788.975000
7,2,3337,200,3675,5.000000,801.675000
7,3,3337,200,3675,5.000000,807.875000
7,4,3337,200,3675,5.000000,796.800000
7,5,3337,200,3675,5.000000,801.300000
7,6,3337,200,3675,5.000000,784.200000
7,7,3337,200,3675,5.000000,784.100000
7,8,3337,200,3675,5.000000,813.400000
7,9,3337,200,3675,5.000000,813.400000
7,10,3337,200,3675,5.000000,788.600000
8,1,3891,94,2620,2.000000,800.975000
8,2,3891,94,2620,2.000000,801.375000
8,3,3891,94,2620,2.000000,810.825000
8,4,3891,94,2620,2.000000,813.300000
8,5,3891,94,2620,2.000000,812.200000
8,6,3891,94,2620,2.000000,806.675000
8,7,3891,94,2620,2.000000,783.700000
8,8,3891,94,2620,2.000000,788.150000
8,9,3891,94,2620,2.000000,792.300000
8,10,3891,94,2620,2.000000,776.425000
9,1,4446,52,5783,3.000000,784.650000
9,2,4446,52,5783,3.000000,788.300000
9,3,4446,52,5783,3.000000,774.025000
9,4,4446,52,5783,3.000000,800.350000
9,5,4446,52,5783,3.000000,785.825000
9,6,4446,52,5783,3.000000,807.650000
9,7,4446,52,5783,3.000000,788.750000
9,8,4446,52,5783,3.000000,781.525000
9,9,4446,52,5783,3.000000,800.650000
9,10,4446,52,5783,3.000000,798.750000
10,1,5000,31,8946,4.500000,778.375000
10,2,5000,31,8946,4.500000,786.075000
10,3,5000,31,8946,4.500000,789.675000
10,4,5000,31,8946,4.500000,812.050000
10,5,5000,31,8946,4.500000,780.075000
10,6,5000,31,8946,4.500000,766.650000
10,7,5000,31,8946,4.500000,786.050000
10,8,5000,31,8946,4.500000,788.300000
10,9,5000,31,8946,4.500000,800.850000
10,10,5000,31,8946,4.500000,787.600000
