design_idx,run_id,MaxMessageCount,AbsoluteMaxBytes,PreferredMaxBytes,BatchTimeout,tps,tps_create,tps_change,tps_query_all,tps_query_one,lat_avg_create,lat_avg_change,lat_avg_query_all,lat_avg_query_one,lat_max_create,lat_max_change,lat_max_query_all,lat_max_query_one
1,1,10,179,1566,1.000000,812.775000,41.800000,39.500000,1521.700000,1648.100000,0.260000,0.230000,0.000000,0.000000,4.550000,2.480000,0.020000,0.010000
1,2,10,179,1566,1.000000,805.125000,42.200000,45.300000,1502.900000,1630.100000,0.240000,0.160000,0.010000,0.000000,4.150000,3.700000,0.010000,0.010000
1,3,10,179,1566,1.000000,828.900000,51.200000,38.400000,1545.700000,1680.300000,0.230000,0.200000,0.000000,0.000000,3.720000,4.000000,0.020000,0.020000
2,1,564,158,4729,2.500000,801.050000,4.600000,4.600000,1533.400000,1661.600000,2.090000,2.140000,0.000000,0.000000,2.950000,2.810000,0.020000,0.010000
2,2,564,158,4729,2.500000,774.750000,4.600000,4.600000,1480.700000,1609.100000,2.110000,2.130000,0.010000,0.000000,2.830000,2.780000,0.020000,0.010000
2,3,564,158,4729,2.500000,800.725000,4.600000,4.600000,1537.400000,1656.300000,2.120000,2.130000,0.000000,0.000000,3.080000,2.810000,0.020000,0.020000
3,1,1119,116,7892,3.500000,776.800000,3.400000,3.300000,1486.400000,1614.100000,2.930000,2.970000,0.010000,0.000000,3.650000,3.750000,0.020000,0.010000
3,2,1119,116,7892,3.500000,811.075000,3.400000,3.400000,1566.500000,1671.000000,2.930000,2.960000,0.000000,0.000000,3.620000,3.600000,0.010000,0.010000
3,3,1119,116,7892,3.500000,786.200000,3.400000,3.300000,1516.400000,1621.700000,2.930000,2.970000,0.010000,0.000000,3.620000,3.770000,0.010000,0.010000
4,1,1673,10,6837,0.500000,801.550000,20.300000,18.900000,1503.800000,1663.200000,0.450000,0.460000,0.000000,0.000000,1.590000,1.470000,0.010000,0.020000
4,2,1673,10,6837,0.500000,780.250000,19.900000,19.700000,1474.100000,1607.300000,0.460000,0.470000,0.010000,0.000000,1.480000,1.660000,0.020000,0.020000
4,3,1673,10,6837,0.500000,820.950000,19.900000,18.600000,1556.800000,1688.500000,0.460000,0.480000,0.000000,0.000000,1.700000,1.440000,0.020000,0.010000
5,1,2228,73,10000,1.500000,776.650000,7.500000,7.500000,1482.200000,1609.400000,1.260000,1.300000,0.010000,0.000000,1.980000,2.090000,0.020000,0.030000
5,2,2228,73,10000,1.500000,802.325000,7.600000,7.500000,1534.800000,1659.400000,1.250000,1.310000,0.000000,0.000000,2.170000,2.060000,0.010000,0.010000
5,3,2228,73,10000,1.500000,776.850000,7.600000,7.600000,1481.800000,1610.400000,1.270000,1.290000,0.010000,0.000000,2.300000,1.850000,0.020000,0.010000
6,1,2782,137,512,4.000000,813.050000,2.900000,2.900000,1567.500000,1678.900000,3.340000,3.390000,0.000000,0.000000,4.180000,4.170000,0.010000,0.020000
6,2,2782,137,512,4.000000,774.800000,2.900000,2.900000,1491.500000,1601.900000,3.360000,3.400000,0.010000,0.000000,4.200000,4.220000,0.020000,0.010000
6,3,2782,137,512,4.000000,775.775000,2.900000,2.900000,1489.700000,1607.600000,3.340000,3.400000,0.010000,0.000000,4.130000,4.110000,0.020000,0.020000
7,1,3337,200,3675,5.000000,774.000000,2.400000,2.400000,1478.900000,1612.300000,4.200000,4.230000,0.010000,0.000000,5.260000,5.130000,0.010000,0.020000
7,2,3337,200,3675,5.000000,801.550000,2.400000,2.400000,1539.300000,1662.100000,4.190000,4.230000,0.000000,0.000000,5.140000,5.210000,0.020000,0.010000
7,3,3337,200,3675,5.000000,787.175000,2.400000,2.400000,1514.300000,1629.600000,4.190000,4.220000,0.010000,0.000000,5.140000,5.170000,0.010000,0.010000
8,1,3891,94,2620,2.000000,789.825000,5.800000,5.700000,1505.900000,1641.900000,1.650000,1.720000,0.010000,0.000000,2.420000,2.440000,0.020000,0.010000
8,2,3891,94,2620,2.000000,799.125000,5.700000,5.700000,1524.900000,1660.200000,1.680000,1.720000,0.000000,0.000000,2.400000,2.550000,0.020000,0.010000
8,3,3891,94,2620,2.000000,813.525000,5.700000,5.700000,1562.100000,1680.600000,1.680000,1.720000,0.000000,0.000000,2.200000,2.140000,0.020000,0.010000
9,1,4446,52,5783,3.000000,813.625000,3.900000,3.900000,1569.500000,1677.200000,2.490000,2.550000,0.000000,0.000000,3.130000,3.190000,0.010000,0.010000
9,2,4446,52,5783,3.000000,814.725000,3.900000,3.900000,1570.500000,1680.600000,2.520000,2.560000,0.000000,0.000000,3.300000,3.420000,0.010000,0.020000
9,3,4446,52,5783,3.000000,786.050000,3.900000,3.900000,1510.200000,1626.200000,2.510000,2.550000,0.010000,0.000000,3.200000,3.250000,0.020000,0.010000
10,1,5000,31,8946,4.500000,790.750000,2.600000,2.600000,1517.500000,1640.300000,3.770000,3.810000,0.010000,0.000000,4.750000,4.650000,0.010000,0.010000
10,2,5000,31,8946,4.500000,775.300000,2.600000,2.600000,1484.000000,1612.000000,3.770000,3.810000,0.010000,0.000000,4.760000,4.620000,0.010000,0.020000
10,3,5000,31,8946,4.500000,784.450000,2.600000,2.600000,1505.400000,1627.200000,3.760000,3.810000,0.010000,0.000000,4.690000,4.720000,0.020000,0.010000
