delay_s,run_id,tps_create,tps_change,tps_query_all,tps_query_one,tps_avg
10,1,94.700000,70.900000,2007.600000,2268.200000,1110.350000
10,2,98.300000,52.000000,2006.800000,2257.500000,1103.650000
10,3,74.700000,54.700000,1944.400000,2152.900000,1056.675000
10,4,66.300000,66.300000,1961.500000,2167.400000,1065.375000
10,5,77.600000,82.300000,1957.700000,2192.600000,1077.550000
10,6,87.600000,60.900000,1984.100000,2253.900000,1096.625000
10,7,84.100000,80.500000,1988.500000,2084.700000,1059.450000
10,8,89.700000,58.900000,1957.300000,2216.900000,1080.700000
10,9,58.000000,77.500000,1954.300000,2194.500000,1071.075000
10,10,98.000000,54.500000,1968.900000,2186.800000,1077.050000
20,1,85.700000,58.200000,1936.500000,2054.700000,1033.775000
20,2,68.700000,69.800000,1929.000000,2185.900000,1063.350000
20,3,84.600000,73.900000,1979.000000,2177.300000,1078.700000
20,4,66.800000,72.300000,1947.800000,2169.300000,1064.050000
20,5,89.600000,68.400000,1961.900000,2211.000000,1082.725000
20,6,100.300000,84.200000,1952.000000,2236.200000,1093.175000
20,7,85.100000,63.200000,1986.500000,2147.800000,1070.650000
20,8,81.400000,81.100000,1973.500000,2097.400000,1058.350000
20,9,77.200000,78.900000,2006.400000,2287.400000,1112.475000
20,10,98.800000,71.900000,2005.600000,2256.400000,1108.175000
30,1,84.100000,63.700000,1981.400000,2211.500000,1085.175000
30,2,104.700000,72.800000,2003.600000,2241.800000,1105.725000
30,3,96.100000,82.500000,2001.600000,2180.600000,1090.200000
30,4,88.500000,72.000000,1814.800000,1883.600000,964.725000
30,5,84.400000,57.400000,1741.500000,1968.100000,962.850000
30,6,91.800000,79.600000,1974.700000,2092.100000,1059.550000
30,7,94.400000,57.900000,1945.100000,2172.100000,1067.375000
30,8,72.300000,81.900000,1897.100000,2101.800000,1038.275000
30,9,95.400000,79.300000,1967.300000,2188.300000,1082.575000
30,10,66.900000,66.900000,2005.200000,2244.300000,1095.825000
40,1,78.300000,87.700000,1998.800000,2231.300000,1099.025000
40,2,77.800000,71.900000,2000.800000,2237.200000,1096.925000
40,3,101.700000,68.000000,1982.900000,2229.300000,1095.475000
40,4,88.600000,47.300000,1968.900000,2212.500000,1079.325000
40,5,58.200000,71.500000,2006.000000,2277.000000,1103.175000
40,6,104.000000,58.200000,1984.900000,2159.900000,1076.750000
40,7,63.500000,63.200000,1947.000000,2112.000000,1046.425000
40,8,64.700000,83.700000,1966.600000,2195.000000,1077.500000
40,9,54.800000,66.600000,1948.500000,2130.900000,1050.200000
40,10,81.200000,67.500000,1920.800000,2156.600000,1056.525000
50,1,73.300000,66.600000,1976.300000,2194.000000,1077.550000
50,2,79.700000,67.200000,2010.900000,2229.300000,1096.775000
50,3,100.800000,68.100000,1972.400000,2159.400000,1075.175000
50,4,96.200000,60.500000,1961.500000,2165.500000,1070.925000
50,5,97.300000,65.000000,2002.000000,2211.000000,1093.825000
50,6,72.000000,71.200000,1936.800000,2160.800000,1060.200000
50,7,83.000000,79.400000,1982.900000,2168.300000,1078.400000
50,8,86.100000,88.000000,1982.200000,2215.900000,1093.050000
50,9,78.000000,54.100000,1969.700000,2073.400000,1043.800000
50,10,81.300000,85.500000,1946.300000,2162.200000,1068.825000
60,1,79.200000,48.500000,1969.700000,2200.800000,1074.550000
60,2,88.100000,66.900000,1975.900000,2218.400000,1087.325000
60,3,78.800000,92.000000,1978.600000,2170.700000,1080.025000
60,4,74.600000,54.700000,1955.400000,2190.700000,1068.850000
60,5,101.800000,73.700000,1964.600000,2116.000000,1064.025000
60,6,91.500000,87.900000,2002.400000,2246.800000,1107.150000
60,7,83.300000,78.900000,1963.100000,2209.100000,1083.600000
60,8,94.800000,55.100000,1966.600000,2213.500000,1082.500000
60,9,91.800000,63.700000,1979.400000,2226.300000,1090.300000
60,10,79.200000,60.400000,2007.200000,2050.000000,1049.200000
70,1,78.800000,74.000000,1657.200000,1733.900000,885.975000
70,2,94.700000,61.700000,1976.300000,2120.000000,1063.175000
70,3,77.800000,65.800000,1986.100000,2091.700000,1055.350000
70,4,89.500000,62.200000,1948.200000,2051.300000,1037.800000
70,5,60.700000,86.000000,1873.300000,2124.100000,1036.025000
70,6,75.600000,61.900000,2000.400000,2260.500000,1099.600000
70,7,81.000000,93.100000,1948.200000,2116.900000,1059.800000
70,8,83.900000,60.900000,1974.300000,2163.200000,1070.575000
70,9,82.100000,71.100000,1950.100000,2152.900000,1064.050000
70,10,71.800000,72.200000,1953.100000,2070.900000,1042.000000
80,1,99.200000,62.800000,1977.400000,2143.200000,1070.650000
80,2,81.800000,61.600000,1950.800000,2183.500000,1069.425000
80,3,96.600000,69.200000,1953.500000,2204.200000,1080.875000
80,4,72.000000,76.100000,1957.300000,2061.500000,1041.725000
